Target_variable,Algorithm,PCA_not,transform,home_away,train_error,rmse,max_error,mae,r^2,best_params
pointspread,LR,PCA,standard,home,-9.42,12.72,48.37,9.98,0.2,"{'fit_intercept': False, 'positive': False}/nrooted_mean_squared_error:12.724892341590147/nmax_error:48.368250275875525/nmean_absolute_error:9.977329315538437/nr2_score:0.20333497600762707"
pointspread,LR,PCA,standard,not_need,not_need,12.73,48.68,9.98,0.23,not_need
PTS,LR,PCA,standard,not_need,not_need,12.87,46.79,10.09,0.21,not_need
pointspread,RF,PCA,minmax,away,-9.44,12.78,45.69,10,0.2,"{'n_estimators': 78, 'min_samples_split': 38, 'min_samples_leaf': 4, 'min_impurity_decrease': 0.1, 'max_features': 30, 'max_depth': 60}/nrooted_mean_squared_error:12.782143730510295/nmax_error:45.688317782508285/nmean_absolute_error:9.99839901601523/nr2_score:0.19615019490945462"
pointspread,RF,PCA,minmax,home,-9.44,12.85,48.22,10.04,0.19,"{'n_estimators': 78, 'min_samples_split': 38, 'min_samples_leaf': 4, 'min_impurity_decrease': 0.1, 'max_features': 30, 'max_depth': 60}/nrooted_mean_squared_error:12.845952403061965/nmax_error:48.21768462013556/nmean_absolute_error:10.042566296352176/nr2_score:0.18810449978922428"
pointspread,RF,PCA,minmax,not_need,not_need,12.81,48.22,10.02,0.22,not_need
PTS,RF,PCA,minmax,not_need,not_need,12.99,44.82,10.16,0.2,not_need
pointspread,RF,PCA,standard,away,-9.44,12.83,44.73,10.05,0.19,"{'n_estimators': 63, 'min_samples_split': 8, 'min_samples_leaf': 4, 'min_impurity_decrease': 0.1, 'max_features': 35, 'max_depth': 30}/nrooted_mean_squared_error:12.832060864160772/nmax_error:44.72842804579752/nmean_absolute_error:10.047434548355875/nr2_score:0.1898595085780903"
pointspread,RF,PCA,standard,home,-9.43,12.81,46.17,10.02,0.19,"{'n_estimators': 78, 'min_samples_split': 38, 'min_samples_leaf': 4, 'min_impurity_decrease': 0.1, 'max_features': 30, 'max_depth': 60}/nrooted_mean_squared_error:12.811047114632126/nmax_error:46.174779718441975/nmean_absolute_error:10.017586325357016/nr2_score:0.19251070393128633"
pointspread,RF,PCA,standard,not_need,not_need,12.82,46.17,10.03,0.22,not_need
